channel,video_count,total_views,avg_views,avg_likes
Teddy P,3,459382381,153127460,1885953
camman18,6,214184053,35697342,1954244
Glebo,2,203203047,101601523,775009
Film Shots,1,198697990,198697990,3517715
KamiCH,2,180406542,90203271,2133166
Rabbert,1,180245547,180245547,4997993
Daquavis,3,170171898,56723966,842821
GarrettTheCarrot,1,162723579,162723579,3456688
AJTHEBOLD,3,149992984,49997661,899662
Object,1,127467987,127467987,1666195
Sosonya,1,119499685,119499685,1057605
Power Studios,2,114603776,57301888,0
TeamMinecraftBuild !,1,107124477,107124477,3785697
Twi Shorts,1,99768023,99768023,814355
WaterTower Music,1,87204203,87204203,678868
Ethobot,1,86306295,86306295,1697192
Zombie San,1,78982189,78982189,2509812
DD,1,78393926,78393926,664824
Froppy Craft,2,76706573,38353286,826025
Mikecrack,1,63192437,63192437,750855
Andrey Grechka,1,60610262,60610262,417073
Googly Legend,1,58019780,58019780,774156
HamoodeG,2,57755978,28877989,573680
XDSchool,1,55917275,55917275,870459
Mini Katana,1,47961180,47961180,462215
Macfarlane Bros,1,45401734,45401734,380948
TD BRICKS,1,44185895,44185895,79765
BigSchool,1,40163526,40163526,2102680
fractal777domino,1,37678679,37678679,0
Joy Joy World,1,31249001,31249001,7280
GH'S,1,25420353,25420353,99660
Kaven Adventures,1,25106683,25106683,292648
Maizen,1,19377246,19377246,86647
Dream,1,18519413,18519413,717614
